Residential property sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 8 April 2025],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of sales:,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,Sep-96,Sep-97,Sep-98,Sep-99,Sep-00,Sep-01,Sep-02,Sep-03,Sep-04,Sep-05,Sep-06,Sep-07,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23,Area,mnemonic
95,971,1257,1142,1286,1495,1518,1732,1613,1879,1277,1524,1815,1127,661,795,782,762,798,1046,943,1088,1037,1068,1032,767,1338,1101,697,ladu2023:Boston,E07000136
96,2452,3039,2942,3166,3376,3268,3816,3207,3461,2479,2958,3529,2142,1546,1876,1731,1783,1855,2495,2380,2542,2643,2649,2568,2082,3648,2567,1657,ladu2023:East Lindsey,E07000137
97,1617,1879,1818,1967,2263,2445,2841,2617,2659,1761,2429,2734,1746,1055,1204,1202,1347,1380,1759,1684,1731,1519,1651,1490,1161,1704,1474,1042,ladu2023:Lincoln,E07000138
98,1760,2254,2248,2626,2959,3129,3451,2742,2919,2203,2779,3063,1852,1372,1688,1537,1608,1697,2216,2298,2532,2385,2237,2303,1823,2980,2214,1353,ladu2023:North Kesteven,E07000139
99,1478,2026,2071,2028,2375,2319,2761,2418,2618,1910,2269,2630,1454,998,1199,1227,1152,1416,1749,1706,1803,1590,1697,1586,1440,2451,1770,1148,ladu2023:South Holland,E07000140
100,2738,3222,3100,3451,3454,3394,3800,3506,3717,2767,3503,3517,2212,1659,2045,1898,2045,2278,2809,2813,2851,2735,2707,2506,2008,3297,2376,1804,ladu2023:South Kesteven,E07000141
101,1175,1486,1473,1635,1850,1979,2480,2022,2433,1875,2199,2502,1615,1117,1199,1084,1135,1317,1770,1645,1722,1715,1721,1804,1390,2499,1939,1101,ladu2023:West Lindsey,E07000142
102,1517,1903,1935,2117,2424,2607,3097,2830,3085,2371,2638,2711,1803,1152,1359,1461,1423,1611,2058,1943,2323,2299,1991,2022,1678,2389,1933,1300,ladu2023:Ashfield,E07000170
103,1574,1828,1844,2101,2367,2360,2497,2548,2317,1955,2454,2722,1608,1063,1272,1274,1244,1310,1707,1703,1909,1971,1906,1986,1740,2542,2069,1351,ladu2023:Bassetlaw,E07000171
104,1714,2187,2130,2329,2358,2255,2523,2155,2459,1889,2303,2476,1536,1151,1416,1354,1406,1479,1739,1764,1992,1858,1998,1753,1355,2268,1628,1253,ladu2023:Broxtowe,E07000172
